QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,05043051,31,1,1,405,D,03,D,284,E,,A,,A,,A,,A
20222,05043051,31,2,1,420,D,03,D,166,E,,A,,A,,A,,A
20222,05043051,32,0,1,420,D,03,D,190,D,,A,,A,,A,,A
20222,05043051,33,0,1,420,D,03,D,200,D,,A,,A,,A,,A
20222,05043051,34,0,1,410,D,03,D,90,D,,A,,A,,A,,A
20222,05043161,51,0,1,410,D,03,D,35,D,,A,,A,,A,,A
20222,05043161,52,0,1,420,D,04,D,40,D,,A,,A,,A,,A
20222,05043161,53,0,1,405,D,04,D,103,D,,A,,A,,A,,A
20222,05043254,31,0,1,420,D,05,D,72,D,,A,,A,,A,,A
20222,05043261,30,0,1,410,D,04,D,21,D,,A,,A,,A,,A
20222,05043301,28,0,1,420,D,03,D,75,D,,A,,A,,A,,A
20222,05043361,25,0,1,420,D,04,D,321,D,,A,,A,,A,,A
20222,05043411,44,0,1,420,D,04,D,100,D,,A,,A,,A,,A
20222,05043511,28,0,1,410,D,05,D,90,D,,A,,A,,A,,A
20222,05043511,29,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05043511,29,1,1,420,D,05,D,1000,E,,A,,A,,A,,A
20222,05043851,9,0,1,400,D,04,D,30,D,,A,,A,,A,,A
20222,05043881,17,0,1,420,D,05,D,37,D,,A,,A,,A,,A
20222,05043901,35,0,1,430,D,03,D,,H,405,D,415,D,,A,,A
20222,05043901,35,1,1,405,D,03,D,225,E,,A,,A,,A,,A
20222,05043901,35,2,1,420,D,03,D,375,E,,A,,A,,A,,A
20222,05043961,24,0,1,420,D,03,D,95,D,,A,,A,,A,,A
20222,05044141,26,0,1,420,D,04,D,90,D,,A,,A,,A,,A
20222,05044141,27,0,1,420,D,05,D,100,D,,A,,A,,A,,A
20222,05044321,45,0,1,400,D,03,D,35,D,,A,,A,,A,,A
20222,05044321,46,0,1,410,D,03,D,45,D,,A,,A,,A,,A
20222,05044321,47,0,1,410,D,04,D,45,D,,A,,A,,A,,A
20222,05044341,49,0,1,410,D,04,D,80,D,,A,,A,,A,,A
20222,05044341,50,0,1,430,D,03,D,,H,405,D,415,D,,A,,A
20222,05044341,50,1,1,405,D,03,D,585,E,,A,,A,,A,,A
20222,05044341,50,2,1,420,D,03,D,65,E,,A,,A,,A,,A
20222,05044391,20,0,1,405,D,03,D,60,D,,A,,A,,A,,A
20222,05044971,37,0,1,420,D,03,D,100,D,,A,,A,,A,,A
20222,05045121,42,0,1,420,D,03,D,350,D,,A,,A,,A,,A
20222,05045281,14,0,1,400,D,05,D,25,D,,A,,A,,A,,A
20222,05045641,34,0,1,410,D,05,D,13,D,,A,,A,,A,,A
20222,05045641,35,0,1,420,D,05,D,38,D,,A,,A,,A,,A
20222,05045641,36,0,1,405,D,05,D,243,D,,A,,A,,A,,A
20223,04895154,28,0,1,420,D,06,D,136,D,,A,,A,,A,,A
20223,04895164,52,0,1,400,D,04,D,35,D,,A,,A,,A,,A
20223,04895194,58,0,1,420,D,06,D,65,D,,A,,A,,A,,A
20223,04895204,25,0,1,410,D,06,D,35,D,,A,,A,,A,,A
20223,04895344,62,0,1,400,D,06,D,36,D,,A,,A,,A,,A
20223,04895384,34,0,1,420,D,05,D,180,D,,A,,A,,A,,A
20223,04895384,35,0,1,430,D,06,D,,H,405,D,415,D,,A,,A
20223,04895384,35,1,1,420,D,06,D,475,E,,A,,A,,A,,A
20223,04895424,29,0,1,400,D,06,D,30,D,,A,,A,,A,,A
20223,04895624,26,0,1,405,D,06,D,140,D,,A,,A,,A,,A
20223,04895654,30,0,1,410,D,06,D,60,D,,A,,A,,A,,A
20223,04895654,31,0,1,420,D,05,D,76,D,,A,,A,,A,,A
20223,04895984,25,0,1,420,D,04,D,342,D,,A,,A,,A,,A
20223,04895984,26,0,1,420,D,04,D,180,D,,A,,A,,A,,A
20223,04895994,47,0,1,420,D,05,D,136,D,,A,,A,,A,,A
20223,04896214,30,0,1,420,D,06,D,78,D,,A,,A,,A,,A
20223,04896294,22,0,2,420,D,04,D,37,D,,A,,A,,A,,A
20223,04896374,46,0,1,420,D,05,D,183,D,,A,,A,,A,,A
20223,04896374,47,0,1,400,D,06,D,39,D,,A,,A,,A,,A
20223,04896414,31,0,1,410,D,04,D,20,D,,A,,A,,A,,A
20223,04896414,32,0,1,420,D,04,D,80,D,,A,,A,,A,,A
20223,04896634,36,0,1,420,D,04,D,350,D,,A,,A,,A,,A
20223,04896644,48,0,1,430,D,05,D,,H,415,D,425,D,405,D,,A
20223,04896644,48,1,1,420,D,05,D,23,E,,A,,A,,A,,A
20223,04896644,48,2,1,405,D,05,D,72,E,,A,,A,,A,,A
20223,04896884,28,0,1,400,D,05,D,30,D,,A,,A,,A,,A
20223,04896884,29,0,1,420,D,05,D,155,D,,A,,A,,A,,A
